increase_ratio_1,increase_ratio_2
4.384485666,23.26332795
10.20408163,30.13468013
25.27777778,16.85144124
-7.675438596,17.33966746
5.144694534,12.2324159
15.79961464,17.63727121
12.90926099,8.450704225
-1.564380265,17.60391198
0.857632933,5.952380952
16.23762376,16.86541738
6.25,8.71459695
11.35135135,23.30097087
4.695222405,5.743509048
15.11254019,12.5698324
-3.547297297,6.654991243
3.29218107,8.217131474
20.62193126,26.86567164
4.908565929,19.17431193
2.748414376,19.75308642
2.564102564,13.97058824
-5.408886027,16.67801225
-2.654867257,12.42424242
19.1321499,7.450331126
12.3088685,10.41524847
2.602854744,21.60392799
-12.5,-14.28571429
9.893404397,7.820551682
15.39936102,-3.65448505
14.16058394,28.51662404
6.85483871,11.09433962
15.17241379,2.395209581
6.311637081,8.441558442
5.797886752,8.117797695
7.56302521,16.47135417
12.02236719,10.06655574
12.52236136,21.14467409
9.318766067,8.583186361
13.62007168,21.03049422
8.823529412,8.028616852
6.147540984,12.16216216
11.74168297,13.13485114
5.775075988,26.43678161
5.092761004,11.38802354
12.44019139,32.55319149
12.07513417,16.60015962
31.09756098,17.82945736
2.401746725,14.28571429
8.888888889,10.20408163
2.702702703,-7.330827068
10.21724372,8.90052356
17.50972763,9.602649007
11.64658635,14.38848921
9.310344828,3.785488959
13.46444781,13.86666667
1.724137931,21.5496368
3.84837963,7.829478963
18.10631229,14.20534459
17.90123457,7.853403141
16.57303371,22.89156627
-80,300
0,13.94891945
-3.691275168,34.49477352
10.33969011,9.721847151
12.34782609,4.643962848
0.743494424,45.38745387
18.15159574,4.333145751
8.123791103,8.586762075
-0.710059172,18.23599523
5.239342701,13.87191672
7.995431182,6.504494976
-2.125506073,11.16856256
12.17592593,8.130416839
8.171206226,33.45323741
7.29528536,12.44218316
16.6909621,13.17926296
13.96761134,-2.841918295
3.768278965,1.35501355
10.0814664,3.607770583
-4.21686747,29.55974843
0.436681223,10
3.57568534,-0.230149597
1.6563147,18.12627291
17.78169014,6.128550075
17.47885622,4.833733288
0.508905852,15.44303797
11.76470588,19.29824561
6.59767141,1.09223301
13.57027464,9.672830725
10.48653755,11.45788799
5.344262295,8.963585434
7.022749753,18.85397412
6.101048618,-6.558849955
10.20730503,2.920100322
6.029411765,17.05963939
2.73556231,27.5147929
5.769230769,14.77272727
6.515580737,1.196808511
11.50627615,8.442776735
0.511945392,8.488964346
-5.333333333,9.85915493
1.217391304,32.98969072
12.98076923,5.957446809
18.89400922,38.37209302
5.965463108,22.07407407
9.691629956,3.212851406
15.90909091,-15.68627451
-1.837985024,12.20527046
7.226107226,14.67391304
11.61825726,12.6394052
18.55166802,7.206588881
7.332722273,20.06831768
-0.514800515,0.776196636
8.818635607,-1.070336391
10.88807786,5.704882063
13.81407472,1.603053435
2.868852459,23.5059761
-4.910714286,1.095461659
8.503401361,16.30094044
0.976138829,17.61546724
1.061946903,12.43432574
7.739861523,9.295386734
8.074534161,8.556832695
15.23046092,3.652173913
5.326460481,3.83360522
2.955665025,11.80223285
16.38846737,4.954367666
-0.465116279,10.1635514
33.55704698,10.55276382
14.54248366,4.422253923
10.43165468,20.84690554
10.546875,1.531213192
10.4,1.811594203
1.138211382,1.768488746
-11.24780316,19.8019802
13.60544218,6.467065868
6.419895894,12.33695652
1.182432432,18.78130217
18,16.38418079
-8.829174664,13.26315789
3.555555556,23.81974249
7.246376812,7.085463842
10.25641026,6.976744186
5.550847458,10.67844239
6.614785992,12.95620438
11.6013882,7.285650822
7.434402332,2.849389417
6.593406593,8.659793814
3.59375,12.63197587
22.68907563,15.75342466
8.94590846,9.993634628
12.61957322,5.749754982
8.205128205,11.69036335
